"SUMLEV","STATE","COUNTY","STNAME","CTYNAME","YEAR","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE","percent_white","abbr","state_county"
50,1,1,"Alabama","Autauga County",8,0,55347,26857,28490,20925,21840,5003,5601,121,146,276,388,32,23,500,492,21386,22284,5249,5867,292,298,414,511,47,52,26041,27733,20255,21204,4939,5554,101,127,273,380,19,17,454,451,20677,21610,5161,5797,251,263,400,491,28,38,816,757,670,636,64,47,20,19,3,8,13,6,46,41,709,674,88,70,41,35,14,20,19,14,0.77267060545287,"AL","AL Autauga County"
50,1,3,"Alabama","Baldwin County",8,0,203709,99286,104423,86524,90838,9477,9954,740,765,852,1055,57,66,1636,1745,88063,92457,10135,10673,1538,1577,1204,1450,134,169,94413,100028,82128,86868,9309,9779,653,686,839,1046,43,52,1441,1597,83491,88359,9871,10432,1347,1418,1156,1403,97,135,4873,4395,4396,3970,168,175,87,79,13,9,14,14,195,148,4572,4098,264,241,191,159,48,47,37,34,0.870663544566023,"AL","AL Baldwin County"
50,1,5,"Alabama","Barbour County",8,0,26489,14148,12341,7099,6176,6728,5910,90,63,57,61,29,20,145,111,7199,6268,6833,5982,165,101,73,76,31,27,13468,11849,6553,5787,6674,5855,34,29,57,61,15,9,135,108,6646,5877,6770,5925,103,67,73,74,17,16,680,492,546,389,54,55,56,34,0,0,14,11,10,3,553,391,63,57,62,34,0,2,14,11,0.501151421344709,"AL","AL Barbour County"
50,1,7,"Alabama","Bibb County",8,0,22583,12170,10413,8863,8316,3117,1900,45,51,19,33,26,5,100,108,8947,8409,3169,1954,97,98,37,54,29,10,11842,10197,8592,8132,3096,1884,43,46,19,33,8,2,84,100,8665,8218,3139,1932,86,90,34,52,9,7,328,216,271,184,21,16,2,5,0,0,18,3,16,8,282,191,30,22,11,8,3,2,20,3,0.760704955054687,"AL","AL Bibb County"
50,1,9,"Alabama","Blount County",8,0,57673,28495,29178,27308,27926,596,488,174,203,65,99,40,24,312,438,27594,28339,698,630,372,456,106,167,50,42,25669,26840,24647,25756,537,450,135,153,63,96,13,6,274,379,24901,26112,619,573,316,370,96,152,20,21,2826,2338,2661,2170,59,38,39,50,2,3,27,18,38,59,2693,2227,79,57,56,86,10,15,30,21,0.957709846895428,"AL","AL Blount County"
50,1,11,"Alabama","Bullock County",8,0,10696,5857,4839,1797,1109,3898,3585,41,49,12,13,41,34,68,49,1860,1155,3935,3607,69,72,21,20,44,36,5415,4476,1522,864,3826,3547,10,18,12,13,2,2,43,32,1562,894,3849,3561,30,32,17,18,2,3,442,363,275,245,72,38,31,31,0,0,39,32,25,17,298,261,86,46,39,40,4,2,42,33,0.271690351533283,"AL","AL Bullock County"
50,1,13,"Alabama","Butler County",8,0,20154,9371,10783,5157,5636,4003,4921,34,37,97,103,6,4,74,82,5222,5709,4044,4963,68,71,107,118,10,6,9244,10674,5081,5558,3965,4898,33,34,92,101,5,4,68,79,5141,5628,4001,4938,65,67,102,116,9,6,127,109,76,78,38,23,1,3,5,2,1,0,6,3,81,81,43,25,3,4,5,2,1,0,0.535526446363005,"AL","AL Butler County"
50,1,15,"Alabama","Calhoun County",8,0,115620,55755,59865,42610,44760,11312,13174,332,279,437,587,60,49,1004,1016,43517,45691,11837,13726,725,655,669,809,118,120,53492,57949,40785,43173,11104,13022,257,218,402,566,50,43,894,927,41602,44029,11567,13526,595,557,606,770,91,99,2263,1916,1825,1587,208,152,75,61,35,21,10,6,110,89,1915,1662,270,200,130,98,63,39,27,21,0.755665109842588,"AL","AL Calhoun County"
50,1,17,"Alabama","Chambers County",8,0,34123,16340,17783,9574,10174,6328,7236,45,47,193,131,15,5,185,190,9745,10348,6426,7354,120,114,215,148,24,13,15930,17502,9284,9955,6256,7200,33,39,183,131,7,4,167,173,9440,10114,6344,7309,102,99,203,146,13,10,410,281,290,219,72,36,12,8,10,0,8,1,18,17,305,234,82,45,18,15,12,2,11,3,0.578729888931219,"AL","AL Chambers County"
50,1,19,"Alabama","Cherokee County",8,0,25859,12839,13020,11897,12060,614,609,86,67,25,47,4,3,213,234,12096,12283,705,714,204,185,43,71,11,9,12638,12823,11718,11895,612,605,77,58,25,36,1,0,205,229,11910,12113,699,707,190,174,41,60,8,6,201,197,179,165,2,4,9,9,0,11,3,3,8,5,186,170,6,7,14,11,2,11,3,3,0.926447271742914,"AL","AL Cherokee County"
